row_id,IAJD_id,family_table,canonical_smiles,predicted_pKa,measured_pKa_v21,family_v21,pka_source
1086,IAJD_117,sSS-Nonsym,CCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,6.522146944999696,6.49,sSS-Nonsym,v21_loo
1087,IAJD_118,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,6.435313759803771,6.33,sSS-Nonsym,v21_loo
1088,IAJD_119,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,6.524199214935303,6.44,sSS-Nonsym,v21_loo
1089,IAJD_120,sSS-Nonsym,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,6.527927180671693,6.37,sSS-Nonsym,v21_loo
1090,IAJD_122,sSS-Nonsym,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,6.514054873085023,6.66,sSS-Nonsym,v21_loo
1091,IAJD123,sSS-Nonsym,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,6.44555204963684,6.61,sSS-Nonsym,v21_loo
1092,IAJD_124,sSS-Nonsym,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,6.517135667610169,6.65,sSS-Nonsym,v21_loo
1093,IAJD_125,sSS-Nonsym,CCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,6.512381479263307,6.64,sSS-Nonsym,v21_loo
1094,IAJD_126,sSS-Nonsym,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,6.442072092056273,6.52,sSS-Nonsym,v21_loo
1095,IAJD_127,sSS-Nonsym,CCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,6.520590580368042,6.52,sSS-Nonsym,v21_loo
1096,IAJD_128,sSS-Nonsym,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCCC)c1,6.500353701782227,6.68,sSS-Nonsym,v21_loo
1097,IAJD129,sSS-Nonsym,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,6.382049861695117,6.49,sSS-Nonsym,v21_loo
1098,IAJD_130,sSS-Nonsym,CCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,6.357058817478579,6.62,sSS-Nonsym,v21_loo
1099,IAJD131,G1-Janus-Dendrimer,CCCCCCCCCCCCCCCCCCOC1=CCCCCCN2C=CC=CC=C3CCCCCN4CCCC(=O)OCCOCCOCCOc5cc(cc(c5OCCOCCOCCOC3)OCCOCCOCCOC(=O)CCC2)C(=O)OCC(=C1)C=C4OCCCCCCCCCCC,7.472401775224215,7.34,G1-Janus-Dendrimer,v21_loo
1100,IAJD_133,sSS-Nonsym,CCCCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,6.508764029782328,6.57,sSS-Nonsym,v21_loo
1101,IAJD134,sSS-Nonsym,CCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCCCC2)cc(OCCCCCCCCCCC)c1,6.604711599792384,7.35,sSS-Nonsym,v21_loo
1102,IAJD_135,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCC(CC)CCCC)c1,6.389984600698032,6.32,sSS-Nonsym,v21_loo
1103,IAJD_136,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,6.365020537923686,6.5,sSS-Nonsym,v21_loo
1104,IAJD137,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCC)c1,6.4416933641433705,6.44,sSS-Nonsym,v21_loo
1105,IAJD_138,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,6.507518680763244,6.62,sSS-Nonsym,v21_loo
1106,IAJD139,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCC)c1,6.444827733993529,6.43,sSS-Nonsym,v21_loo
1107,IAJD140,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCC)c1,6.500433929634094,6.43,sSS-Nonsym,v21_loo
1108,IAJD_141,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCC)c1,6.447422872543334,6.56,sSS-Nonsym,v21_loo
1109,IAJD_142,sSS-Nonsym,CCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCCCC)c1,6.502716525268554,6.69,sSS-Nonsym,v21_loo
