iajd_num,smiles,log10_flux_spleen,log10_flux_liver,log10_flux_total,flux_total_SEM,n_replicates,n_mice,pKa,pKa_paper,pKa_sd,audit_status,family,c0_nm_inv,c0_trusted
12,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,,,,,,,6.25,,,SMILES_RECONSTRUCTED_from_SI_validated; features_REGENERATED_RDKit2D+3D,PE-Gallic,,
13,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,,,,,,,6.2,,,SMILES_RECONSTRUCTED_from_SI_validated; features_REGENERATED_RDKit2D+3D,PE-Gallic,,
14,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,,,,,,,6.02,,,SMILES_RECONSTRUCTED_from_SI_validated; features_REGENERATED_RDKit2D+3D,PE-Gallic,,
15,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,,,,,,,5.84,,,SMILES_RECONSTRUCTED_from_SI_validated; features_REGENERATED_RDKit2D+3D,PE-Gallic,,
16,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c2)COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c2)c1,,,,,,,5.52,,,SMILES_RECONSTRUCTED_from_SI_validated; features_REGENERATED_RDKit2D+3D,PE-Gallic,,
17,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,,,5.552303109338354,,,,6.16,,,SMILES_RECONSTRUCTED_from_SI_validated; features_REGENERATED_RDKit2D+3D,PE-Gallic,,
18,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)c1,,,6.019116290447073,,,,6.32,,,SMILES_RECONSTRUCTED_from_SI_validated; features_REGENERATED_RDKit2D+3D,PE-Gallic,,
19,CCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCC)c1,,,6.943395576508954,,,,6.38,,,SMILES_corrected_2026-06-01; features_REGENERATED_RDKit2D+3D,G1-Janus-Dendrimer,,
20,CCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCC)c1,,,5.989983458301399,,,,6.34,,,SMILES_corrected_2026-06-01; features_REGENERATED_RDKit2D+3D,G1-Janus-Dendrimer,,
21,CCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCC)c1,,,,,,,6.28,,,SMILES_corrected_2026-06-01; features_REGENERATED_RDKit2D+3D,G1-Janus-Dendrimer,,
22,CCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCC)c1,,,5.764475027434409,,,,6.38,,,SMILES_corrected_2026-06-01; features_REGENERATED_RDKit2D+3D,G1-Janus-Dendrimer,,
23,CCCCC(CC)COc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCC(C)CC)c1,,,6.744684063276886,,,,6.38,,,SMILES_corrected_2026-06-01; features_REGENERATED_RDKit2D+3D,G1-Janus-Dendrimer,,
25,CC(C)CCCC(C)COc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCC(C)CCCC(C)C)c1,,,5.834357112718405,,,,6.15,,,SMILES_corrected_2026-06-01; features_REGENERATED_RDKit2D+3D,G1-Janus-Dendrimer,,
26,CCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCCCCCCCCCC)cc(OCCCCCCCCCC)c2)cc(OCCCCCCCCCC)c1,,,7.171141151028382,,,,6.24,,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
27,CCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCCCCCCCCCCC)cc(OCCCCCCCCCCC)c2)cc(OCCCCCCCCCCC)c1,,,7.679200636265943,,1.0,3.0,6.26,6.26,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
28,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,,,7.248463440928758,,1.0,3.0,6.25,6.25,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
29,CCCCC(CC)COc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCC(CC)CCCC)cc(OCC(CC)CCCC)c2)cc(OCCCCC(C)CC)c1,,,7.668678108222505,,1.0,3.0,6.1,6.1,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
30,CCCCCCCCCCCCOc1cc(CNC(=O)CC(COCCOCCOCOC(=O)CCCN(C)C)COCCOCCOCOC(=O)CCCN(C)C)cc(OCCCCCCCCCCCC)c1,,,7.003321417528059,,1.0,3.0,6.419999999999999,6.42,,UNRESOLVED:Lib4 module-D: glycol typo + scaffold unresolved vs SI - verify,G1-Janus-Dendrimer,,
31,CCCCCCCCCCCCOc1cc(COC(=O)CC(COCCOCCOCOC(=O)CCCN(C)C)(COCCOCCOCOC(=O)CCCN(C)C)COCCOCCOCOc2ccccc2)cc(OCCCCCCCCCCCC)c1OCCCCCCCCCCCC,,,8.14566222089621,,1.0,3.0,6.7,6.7,,UNRESOLVED:Lib4 module-D: unresolved vs SI - verify,G1-Janus-Dendrimer,,
32,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOCCOCCOC(=O)CCCN(C)C)c2)cc(OCCCCCCCCCCCC)c1,,,,,,,6.22,,,,PE-Gallic,,
33,CCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCC)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c2)cc(OCCCCCCCCCCC)c1,,,,,,,6.66,,,UNRESOLVED:Lib3: multiple SI formula matches (ambiguous head/chain) - verify,PE-Gallic,,
34,CCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCC)c1,,,8.1785450998039,,1.0,3.0,6.74,6.74,,SMILES_corrected_2026-06-01; features_REGENERATED_RDKit2D+3D,G1-Janus-Dendrimer,,
35,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c2)cc(OCCCCCCCCCCCC)c1,,,,,,,6.16,,,SMILES_corrected_2026-06-01; features_REGENERATED_RDKit2D+3D,G1-Janus-Dendrimer,,
36,CCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c2)cc(OCCCCCCCCCCC)c1,,,,,,,5.89,,,SMILES_corrected_2026-06-01; features_REGENERATED_RDKit2D+3D,G1-Janus-Dendrimer,,
38,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCO)c2C(=O)OCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,,,,,,,6.38,,,"pKa_corrected_vs_SI_avg; UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
39,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2C(=O)OCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,,,,,,,6.24,,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
40,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c2C(=O)OCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,,,5.451939869365103,,,,6.36,,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
41,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCO)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,,,,,,,6.36,,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
42,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,,,,,,,6.06,,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
44,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCCC)c1,,,7.678381765483579,,1.0,3.0,6.75,6.75,,SMILES_corrected_2026-06-01; features_REGENERATED_RDKit2D+3D,G1-Janus-Dendrimer,,
45,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOC)c(OCCOCCOCCOC)c(OCCOCCOCCOC(=O)CCCN3CCN(C)CC3)c2)cc(OCCCCCCCCCCCC)c1,,,5.94875518016827,,,,5.93,,,SMILES_corrected_2026-06-01; features_REGENERATED_RDKit2D+3D; pKa_corrected_vs_SI_avg,G1-Janus-Dendrimer,,
46,CCCCCCCCCCCCOc1cc(OCCCCCCCCCCCC)cc(C(=O)OCC(COC(=O)c2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOCc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2)c1,,,7.746011079775507,,1.0,3.0,6.98,6.98,,SMILES_RECONSTRUCTED_from_SI_validated; features_REGENERATED_RDKit2D+3D,PE-Gallic,,
47,CCCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN3CCCCC3)c2C(=O)OCc2cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c2)cc(OCCCCCCCCCCCC)c1,,,6.237040791379191,,,,6.59,,,"pKa_corrected_vs_SI_avg; UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
48,CCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCCCCCCCC)cc(OCCCCCCCC)c2)cc(OCCCCCCCC)c1,,,,,,,6.39,,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
49,CC(C)CCCC(C)COc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCCN(C)C)c2C(=O)OCc2cc(OCC(C)CCCC(C)C)cc(OCC(C)CCCC(C)C)c2)cc(OCC(C)CCCC(C)C)c1,,,,,,,6.47,,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
50,CCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CCN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CCN(C)C)c2C(=O)OCc2cc(OCCCCCCCCCCC)cc(OCCCCCCCCCCC)c2)cc(OCCCCCCCCCCC)c1,,,,,,,5.9,,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
51,CCCCCCCCCCCOc1cc(COC(=O)c2cc(OCCOCCOCCOC(=O)CN(C)C)c(OCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOC(=O)CN(C)C)c2C(=O)OCc2cc(OCCCCCCCCCCC)cc(OCCCCCCCCCCC)c2)cc(OCCCCCCCCCCC)c1,,,,,,,4.91,,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
54,CCCCCCCCCCCCOc1cc(CNC(=O)c2cc(OCCOCCOCCOCCOC(=O)CCCN3CCCCC3)c(OCCOCCOCCOCCOC(=O)Cc3ccccc3)c(OCCOCCOCCOCCOC(=O)CCCN3CCCCC3)c2)cc(OCCCCCCCCCCCC)c1,,,6.699577591398909,,,,6.96,,,"UNRESOLVED:Lib6 twin-mix: complex architecture, not in 10118, scanned SI - RECOMMEND EXCLUDE from structure-features until reconstructed from hi-res figures",PE-Gallic,,
66,CCCCCCCCCCCCOC1=CCCN(C)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCCCC,,,7.41161970596323,,1.0,1.0,6.37,6.37,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
70,CCCCCCCCCCCCOc1cc(CNC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1,,,6.8208579894397,,1.0,3.0,6.44,6.44,,,sSS-Nonsym,,
71,CCCCCCCCCCCCOC1=CCCN(CCO)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCCCC,,,7.578639209968072,,1.0,1.0,6.38,6.38,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
74,CCCCCCCCCCCCCCOC1=CCCN(C)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCCCCCC,,,7.232996110392154,,1.0,1.0,6.32,6.32,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
75,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCCCCCC)c1,,,7.194296567538006,,1.0,1.0,6.275000000000001,6.22,,,sSS-Nonsym,,
76,CCCCC(CC)COC1=CCCN(C)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCC(C)CC,,,7.8926510338773,,1.0,3.0,6.28,6.28,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
77,CCCCCCCCCOC1=CCCN(C)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCC,,,6.38738982633873,,1.0,1.0,6.4,6.4,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
78,CCCCCCCCCCCCOc1ccc(COC(=O)CCCN2CCN(C)CC2)cc1OCCCCCCCCCCCC,,,7.049218022670182,,1.0,3.0,6.46,6.46,,,sSS-Nonsym,,
79,CCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCCC)c1OCCCCCCCCCCCC,,,7.127104798364807,,,,6.25,,,,GA-Tris,,
81,CCCCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,,,7.3654879848909,,1.0,3.0,6.19,6.19,,,Dialkoxybenzyl,,
82,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCCN1CCN(C)CC1,5.518513939877887,5.155336037465061,6.209515014542631,,1.0,,,6.18,,features_FILLED_RDKit2D+3D,PE-Tris,,
83,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(COCCCCCCCCCCCC)COC(=O)CCCN1CCN(CCO)CC1,7.313867220369153,7.257678574869185,7.851869600729766,,1.0,3.0,6.3,6.3,,,PE-Tris,,
86,CCCCCCCCCCCCCCCCOc1cc(COC(=O)CCCN2CCN(C)CC2)cc(OCCCCCCCCCCC)c1,,,7.674861140737812,,1.0,3.0,6.239999999999999,6.24,,FLAG_10118_disagree:10118 lighter by ~70 (~5 CH2); ja1c09585 image-only - asymmetric chain length unverified,Dialkoxybenzyl,,
87,CCCCC(CC)COC1=CCCN(CCO)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCC(C)CC,,,7.510545010206612,,1.0,1.0,6.49,6.49,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
87,CCCCC(CC)COc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCC(CC)CCCC)c1,,,7.510545010206612,,1.0,,,,,features_FILLED_RDKit2D+3D,Dialkoxybenzyl,,
88,CCCCCCCCOC1=CCCN(C)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCC,,,6.385606273598312,,1.0,1.0,6.28,6.28,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
89,CCCCCCCCOc1cc(COC(=O)CCCN2CCN(CCO)CC2)cc(OCCCCCCCC)c1,,,7.77232170672292,,1.0,3.0,6.45,6.45,,,sSS-Nonsym,,
91,CCCCCCCCCCOC1=CCCN(CCO)CCN2CCCC(=O)OCC(=C1)C=C2OCCCCCCCCCC,,,7.997386384397314,,1.0,1.0,6.48,6.48,,features_FILLED_RDKit2D+3D,sSS-Nonsym,,
92,CCCCC(CC)COCC(COCC(CC)CCCC)(COCC(CC)CCCC)COC(=O)CCCN1CCN(C)CC1,5.850646235183066,5.667452952889954,6.222716471147583,,1.0,,,6.03,,features_FILLED_RDKit2D+3D,PE-Tris,,
